Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V,Rhodamine WT RFU,Rhodamine WT ug/L,file_name,Corrected sp Cond [µS/cm]
12/9/2022,2024-03-18 16:07:35,0.0,Default,3459.7,0.138,3360.2,105.1,105.1,8.38,132.3,0.196,1.76,3369.7,2190,8.24,-97.2,26.399,0.143,2.39,1.5,2.73,27.32,unclecharlie_YSI_20221209,3457.5
12/9/2022,2024-03-18 16:07:35,0.25,Default,3458.2,0.138,3357.7,105.3,105.3,8.4,134.1,0.196,1.76,3367.3,2189,8.23,-97.0,26.414,0.147,2.39,1.5,2.72,27.18,unclecharlie_YSI_20221209,3455.1
12/9/2022,2024-03-18 16:07:35,0.5,Default,3460.0,0.138,3358.3,105.2,105.2,8.39,131.7,0.196,1.76,3368.0,2189,8.22,-96.4,26.429,0.154,2.39,1.5,2.7,27.04,unclecharlie_YSI_20221209,3455.8
12/9/2022,2024-03-18 16:07:35,0.75,Default,3459.2,0.139,3357.0,104.9,104.9,8.37,131.8,0.197,1.76,3366.8,2188,8.2,-95.5,26.445,0.171,2.39,1.5,2.69,26.89,unclecharlie_YSI_20221209,3454.5
12/9/2022,2024-03-18 16:07:36,0.0,Default,3462.2,0.139,3358.8,104.5,104.5,8.33,131.0,0.197,1.76,3368.7,2190,8.2,-95.2,26.461,0.179,2.39,1.5,2.67,26.73,unclecharlie_YSI_20221209,3456.5
12/9/2022,2024-03-18 16:07:36,0.25,Default,3454.6,0.139,3350.4,104.7,104.7,8.35,130.8,0.197,1.75,3360.3,2184,8.2,-95.0,26.477,0.183,2.39,1.5,2.66,26.59,unclecharlie_YSI_20221209,3447.8
12/9/2022,2024-03-18 16:07:36,0.5,Default,3449.8,0.14,3344.5,104.4,104.4,8.32,130.6,0.198,1.75,3354.6,2180,8.19,-94.7,26.493,0.21,2.39,1.5,2.64,26.43,unclecharlie_YSI_20221209,3442.0
12/9/2022,2024-03-18 16:07:36,0.75,Default,3449.0,0.14,3342.7,103.9,103.9,8.28,130.6,0.199,1.75,3352.9,2179,8.18,-94.4,26.502,0.232,2.39,1.5,2.63,26.27,unclecharlie_YSI_20221209,3440.2
12/9/2022,2024-03-18 16:07:37,0.0,Default,3448.6,0.141,3341.1,103.5,103.5,8.24,130.6,0.2,1.75,3351.4,2178,8.18,-94.4,26.518,0.244,2.39,1.5,2.61,26.13,unclecharlie_YSI_20221209,3438.7
12/9/2022,2024-03-18 16:07:37,0.25,Default,3448.6,0.142,3340.0,103.5,103.5,8.24,130.6,0.202,1.75,3350.4,2178,8.18,-94.3,26.534,0.269,2.39,1.5,2.6,25.99,unclecharlie_YSI_20221209,3437.7
12/9/2022,2024-03-18 16:07:37,0.5,Default,3448.6,0.143,3338.8,103.3,103.3,8.22,130.6,0.203,1.75,3349.3,2177,8.18,-94.1,26.551,0.279,2.39,1.5,2.59,25.85,unclecharlie_YSI_20221209,3436.5
12/9/2022,2024-03-18 16:07:37,0.75,Default,3448.7,0.144,3337.9,103.3,103.3,8.22,130.6,0.204,1.75,3348.5,2177,8.17,-93.9,26.568,0.284,2.39,1.5,2.57,25.73,unclecharlie_YSI_20221209,3435.7
12/9/2022,2024-03-18 16:07:38,0.0,Default,3448.7,0.145,3337.3,103.2,103.2,8.21,130.6,0.207,1.75,3347.9,2176,8.17,-93.7,26.584,0.294,2.39,1.5,2.56,25.6,unclecharlie_YSI_20221209,3435.1
12/9/2022,2024-03-18 16:07:38,0.25,Default,3448.5,0.146,3335.9,103.0,103.0,8.19,130.6,0.208,1.75,3346.7,2175,8.17,-93.6,26.601,0.301,2.39,1.5,2.54,25.44,unclecharlie_YSI_20221209,3433.8
12/9/2022,2024-03-18 16:07:38,0.5,Default,3448.0,0.147,3334.3,102.9,102.9,8.18,130.6,0.209,1.75,3345.2,2174,8.16,-93.2,26.618,0.309,2.39,1.5,2.53,25.28,unclecharlie_YSI_20221209,3432.3
12/9/2022,2024-03-18 16:07:38,0.75,Default,3447.4,0.148,3332.6,102.9,102.9,8.18,130.7,0.21,1.74,3343.6,2173,8.16,-93.0,26.634,0.311,2.39,1.5,2.51,25.12,unclecharlie_YSI_20221209,3430.7
12/9/2022,2024-03-18 16:07:39,0.0,Default,3446.8,0.15,3330.8,102.7,102.7,8.16,130.8,0.212,1.74,3341.9,2172,8.15,-92.9,26.643,0.296,2.39,1.5,2.5,24.99,unclecharlie_YSI_20221209,3428.9
12/9/2022,2024-03-18 16:07:39,0.25,Default,3446.3,0.15,3329.1,102.5,102.5,8.14,130.8,0.213,1.74,3340.4,2171,8.15,-92.7,26.66,0.292,2.39,1.5,2.48,24.83,unclecharlie_YSI_20221209,3427.4
12/9/2022,2024-03-18 16:07:39,0.5,Default,3445.8,0.151,3327.5,102.3,102.3,8.13,130.9,0.215,1.74,3338.8,2170,8.14,-92.3,26.677,0.293,2.39,1.5,2.47,24.67,unclecharlie_YSI_20221209,3425.7
12/9/2022,2024-03-18 16:07:39,0.75,Default,3445.2,0.153,3325.8,102.2,102.2,8.11,131.1,0.217,1.74,3337.3,2169,8.14,-92.2,26.693,0.314,2.39,1.5,2.45,24.53,unclecharlie_YSI_20221209,3424.2
12/9/2022,2024-03-18 16:07:40,0.0,Default,3444.9,0.154,3325.0,102.0,102.0,8.1,131.2,0.219,1.74,3336.5,2169,8.14,-92.0,26.709,0.328,2.39,1.5,2.44,24.39,unclecharlie_YSI_20221209,3423.3
12/9/2022,2024-03-18 16:07:40,0.25,Default,3444.4,0.155,3323.4,101.9,101.9,8.08,131.3,0.22,1.74,3335.0,2168,8.13,-91.9,26.724,0.339,2.39,1.5,2.43,24.25,unclecharlie_YSI_20221209,3421.8
12/9/2022,2024-03-18 16:07:40,0.5,Default,3443.8,0.157,3321.9,101.7,101.7,8.07,131.4,0.223,1.74,3333.6,2167,8.13,-91.6,26.74,0.361,2.39,1.5,2.41,24.11,unclecharlie_YSI_20221209,3420.4
12/9/2022,2024-03-18 16:07:40,0.75,Default,3443.2,0.159,3320.2,101.6,101.6,8.05,131.5,0.225,1.74,3332.0,2166,8.13,-91.5,26.756,0.375,2.39,1.5,2.4,23.96,unclecharlie_YSI_20221209,3418.7
12/9/2022,2024-03-18 16:07:41,0.0,Default,3442.7,0.16,3318.6,101.6,101.6,8.05,131.6,0.227,1.74,3330.5,2165,8.12,-91.3,26.764,0.387,2.39,1.4,2.38,23.83,unclecharlie_YSI_20221209,3417.2
12/9/2022,2024-03-18 16:07:41,0.25,Default,3442.3,0.163,3317.1,101.3,101.3,8.03,131.7,0.231,1.74,3329.1,2164,8.12,-91.2,26.78,0.409,2.39,1.4,2.37,23.69,unclecharlie_YSI_20221209,3415.7
12/9/2022,2024-03-18 16:07:41,0.5,Default,3441.9,0.164,3315.6,101.2,101.2,8.02,131.8,0.233,1.73,3327.8,2163,8.12,-91.0,26.796,0.418,2.39,1.4,2.35,23.53,unclecharlie_YSI_20221209,3414.4
12/9/2022,2024-03-18 16:07:41,0.75,Default,3441.6,0.166,3314.2,101.0,101.0,8.0,131.9,0.235,1.73,3326.4,2162,8.11,-90.9,26.813,0.424,2.39,1.4,2.34,23.4,unclecharlie_YSI_20221209,3412.9
12/9/2022,2024-03-18 16:07:42,0.0,Default,3441.4,0.167,3312.8,101.0,101.0,8.0,132.0,0.237,1.73,3325.1,2161,8.11,-90.8,26.83,0.43,2.39,1.4,2.32,23.24,unclecharlie_YSI_20221209,3411.6
12/9/2022,2024-03-18 16:07:42,0.25,Default,3441.3,0.171,3312.2,100.7,100.7,7.98,132.1,0.242,1.73,3324.6,2161,8.11,-90.6,26.847,0.441,2.39,1.4,2.31,23.1,unclecharlie_YSI_20221209,3411.1
12/9/2022,2024-03-18 16:07:42,0.5,Default,3441.2,0.172,3310.9,100.6,100.6,7.96,132.1,0.244,1.73,3323.4,2160,8.11,-90.5,26.865,0.442,2.39,1.4,2.3,22.98,unclecharlie_YSI_20221209,3409.9
12/9/2022,2024-03-18 16:07:42,0.75,Default,3441.1,0.174,3309.6,100.5,100.5,7.95,132.3,0.246,1.73,3322.2,2159,8.1,-90.4,26.883,0.443,2.39,1.4,2.28,22.84,unclecharlie_YSI_20221209,3408.6
12/9/2022,2024-03-18 16:07:43,0.0,Default,3441.1,0.177,3308.4,100.5,100.5,7.95,132.3,0.251,1.73,3321.2,2159,8.1,-90.3,26.9,0.45,2.39,1.4,2.27,22.68,unclecharlie_YSI_20221209,3407.6
12/9/2022,2024-03-18 16:07:43,0.25,Default,3441.2,0.179,3307.2,100.3,100.3,7.93,132.4,0.253,1.73,3320.1,2158,8.1,-90.1,26.909,0.453,2.39,1.4,2.25,22.53,unclecharlie_YSI_20221209,3406.5
12/9/2022,2024-03-18 16:07:43,0.5,Default,3441.2,0.18,3306.0,97.0,97.0,7.67,132.5,0.256,1.73,3319.0,2157,8.1,-90.0,26.927,0.454,2.39,1.4,2.24,22.41,unclecharlie_YSI_20221209,3405.3
12/9/2022,2024-03-18 16:07:43,0.75,Default,3441.2,0.183,3304.8,96.7,96.7,7.64,132.6,0.26,1.73,3317.9,2157,8.1,-90.0,26.944,0.456,2.39,1.4,2.23,22.28,unclecharlie_YSI_20221209,3404.2
