file,Diameter_auger_in
AW1O_caliper_20210910.LAS,4
AW1D_caliper_20210910.LAS,6
AW2O_caliper_20210910.LAS,4
AW1S_caliper_20210910.LAS,6
AW3O_caliper_20210910.LAS,4
AW2D_caliper_20210910.LAS,6
AW5O_caliper_20210910.LAS,4
AW2S_caliper_20210910.LAS,6
AW5D_caliper_20210910.LAS,6
AW6O_caliper_20210910.LAS,4
AW5S_caliper_20210910.LAS,6
AW6D_caliper_20210910.LAS,6
AW7O_caliper_20210910.LAS,4
AW6S_caliper_20210910.LAS,6
AW7D_caliper_20210910.LAS,6
AW7S_caliper_20210910.LAS,6
BW10D_caliper_20210922.LAS,6
BW10D_caliper_20211020.LAS,6
BW10S_caliper_20210910.LAS,6
BW11D_caliper_20210910.LAS,6
BW11S_caliper_20210910.LAS,6
BW1D_caliper_20210910.LAS,6
BW1S_caliper_20210910.LAS,8
BW2D_caliper_20210910.LAS,6
BW2S_caliper_20210910.LAS,6
BW2S_caliper_20210911.LAS,6
BW3D_caliper_20210910.LAS,6
BW4D_caliper_20210910.LAS,6
BW4S_caliper_20210910.LAS,6
BW5D_caliper_20210910.LAS,6
BW5S_caliper_20210910.LAS,6
BW6D_caliper_20210910.LAS,8
BW6S_caliper_20210910.LAS,6
BW7D_caliper_20210910.LAS,6
BW7S_caliper_20210910.LAS,8
LRS33D_caliper_20210910.LAS,6
LRS33S_caliper_20210910.LAS,6
LRS65D_caliper_20210910.LAS,6
LRS65S_caliper_20210910.LAS,8
LRS69D_caliper_20210910.LAS,6
LRS69S_caliper_20210910.LAS,6
LRS70D_caliper_20210910.LAS,8
LRS70S_caliper_20210910.LAS,8
LRS75D_caliper_20210910.LAS,6
LRS75S_caliper_20210910.LAS,6
LRS79D_caliper_20210910.LAS,6
LRS79S_caliper_20210910.LAS,6
LRS89D_caliper_20210910.LAS,6
LRS89S_caliper_20210910.LAS,6
