ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
AW1D_YSI_20230826,1782.749921585221,37909.140858901184,16.386594180014015,21.44209438776765,"(np.float64(1772.760762048829), np.float64(1792.739081121613))","(np.float64(37809.661811927734), np.float64(38008.619905874635))","(np.float64(16.04502922687884), np.float64(16.38789526081184))","(np.float64(21.427465557974767), np.float64(21.476743814381564))"
AW2D_YSI_20230815,486.85166239117706,,11.319882373284479,,"(np.float64(485.562224811907), np.float64(488.1410999704471))",,"(np.float64(11.183451553508618), np.float64(11.32078019588009))",
AW5D_YSI_20230824,834.7560794584258,36661.081673967936,12.090368176492241,23.999913009712177,"(np.float64(831.2568398659375), np.float64(838.2553190509141))","(np.float64(36486.773312975114), np.float64(36835.39003496076))","(np.float64(11.875542297176125), np.float64(12.092036202265469))","(np.float64(23.965876902871923), np.float64(24.01010519434868))"
AW6D_YSI_20230815,954.0021064147165,29720.766274836955,13.844801382896751,21.42075870397382,"(np.float64(922.3582863382259), np.float64(985.6459264912072))","(np.float64(29489.76239708557), np.float64(29951.77015258834))","(np.float64(13.33487262647663), np.float64(13.854883063138017))","(np.float64(21.365516546564862), np.float64(21.439678293634387))"
AW7D_YSI_20230814,1087.1279115532323,44495.61923508998,13.31641777345843,25.75285050617496,"(np.float64(1079.5881685069844), np.float64(1094.66765459948))","(np.float64(44383.077194992096), np.float64(44608.161275187864))","(np.float64(13.207283569168855), np.float64(13.31930263518491))","(np.float64(25.732613380920004), np.float64(25.791591979180666))"
BW10D_YSI_20230825,1311.6147900882222,51914.80719942989,11.276225892491652,21.648532162650966,"(np.float64(1310.9608670550015), np.float64(1312.268713121443))","(np.float64(51900.49793991486), np.float64(51929.11645894492))","(np.float64(11.051473324776282), np.float64(11.276614215499183))","(np.float64(21.645965121927226), np.float64(21.80688273430983))"
BW11D_YSI_20230823,523.1246542802156,48862.791632252956,11.64505535703357,16.667352825621705,"(np.float64(521.5659236545443), np.float64(524.6833849058869))","(np.float64(48790.21340306066), np.float64(48935.36986144525))","(np.float64(11.41482809953466), np.float64(11.645406136001819))","(np.float64(16.661741223347462), np.float64(16.786516576726758))"
BW1D_YSI_20230824,3519.1885521894587,51850.37563563416,14.11702826234562,22.376200379677346,"(np.float64(3493.690023211311), np.float64(3544.6870811676063))","(np.float64(51835.854230666184), np.float64(51864.89704060214))","(np.float64(13.733089306231207), np.float64(14.120270377697041))","(np.float64(22.372605411748086), np.float64(22.431709971717147))"
BW2D_YSI_20230819,1334.805144840489,32491.136127740698,14.581115193038546,24.051731253134204,"(np.float64(1324.086141467958), np.float64(1345.52414821302))","(np.float64(32327.35745493077), np.float64(32654.914800550625))","(np.float64(14.411468597741848), np.float64(14.585409051257562))","(np.float64(24.024270856092397), np.float64(24.048182499757466))"
BW3D_YSI_20230818,1960.4949021781952,43523.81960849317,12.974280266081864,20.8042044628576,"(np.float64(1916.3731509104105), np.float64(2004.6166534459799))","(np.float64(43459.76973089621), np.float64(43587.86948609013))","(np.float64(12.725280314827598), np.float64(12.984920752682534))","(np.float64(20.798311120976546), np.float64(20.847179159819266))"
