nombre_perfil,vertical_position,n_breakpoint_fake,,
AW1D_YSI_20230826,16.76910714,2,,
AW2D_YSI_20230815,11.95648348,2,,
AW5D_YSI_20230824,13.27587288,2,,
AW6D_YSI_20230815,15.65726443,2,,
AW7D_YSI_20230814,13.50529472,2,,
BW1D_YSI_20230824,14.10982041,2,,
BW2D_YSI_20230819,14.72540857,2,,
BW3D_YSI_20230818,13.18224693,2,,
BW4D_YSI_20230816,14.12582624,2,,
BW5D_YSI_20230822,12.12516385,2,,
BW6D_YSI_20230826,10.01517377,2,,
BW7D_YSI_20230826,12.63912941,2,,
BW8D_YSI_20230823,15.04185082,2,,
BW9D_YSI_20230823,14.0938271,2,,
BW10D_YSI_20230825,17.93094173,2,,
BW11D_YSI_20230823,14.67134643,2,,
LRS33D_YSI_20230822,12.59554675,2,,
LRS65D_YSI_20230827,9.5,2,,
LRS69D_YSI_20230818,8.099761401,2,,
LRS70D_YSI_20230822,11.59240113,2,,
LRS75D_YSI_20230819,17.86910634,2,,
LRS79D_YSI_20230827,12.47873762,2,,
LRS81D_YSI_20230823,14.79453415,2,,
LRS89D_YSI_20230825,10.83122781,2,,
LRS90D_YSI_20230827,12.48884117,2,,
