Vertical Position [m],Corrected sp Cond [uS/cm]
0.001,1759.6502905982902
0.009,1760.6861025641022
0.014,1761.8468272017833
0.019,1763.1324645113336
0.032,1764.5430144927532
0.038,1766.078477146042
0.043,1767.7388524711998
0.049,1769.5241404682267
0.064,1771.434341137123
0.07,1773.4694544778886
0.076,1775.6294804905233
0.09,1777.914419175027
0.096,1780.324270531398
0.1,1783.4782801932336
0.112,1786.7130048309145
0.117,1789.9854299516876
0.12,1793.2568502415425
0.129,1791.3163091787405
0.133,1791.2954589371948
0.135,1793.085140096615
0.145,1796.6477101449245
0.15,1800.7961932367116
0.154,1808.260135265697
0.158,1818.4733719806732
0.166,1830.3025893719773
0.168,1843.4173268921063
0.17,1856.5419323671465
0.177,1869.5888502415428
0.18,1881.820447665053
0.183,1893.2320966183543
0.193,1904.1063478260837
0.196,1899.302177133652
0.199,1886.8214409937855
0.208,1887.8852958814896
0.213,1898.5583581423414
0.214,1917.0119570177258
0.218,1942.4210380391405
0.219,1972.7860553559076
0.22,2004.2618309758918
0.221,2034.426394106488
0.224,2069.501354782842
0.227,2108.3157497786046
0.229,2157.152527116874
0.232,2210.226834199042
0.233,2266.6008131921194
0.234,2324.9061774616466
0.235,2385.6738835293622
0.236,2444.924047337295
0.237,2500.6360698516296
0.238,2551.5271298163257
0.239,2595.6425992120608
0.24,2632.22796596154
0.241,2659.664473220963
0.242,2676.325473647334
0.243,2682.1987740039394
0.244,2675.764934677252
0.245,2678.2803034933577
0.246,2692.9766099208564
0.247,2703.507394886698
0.25,2711.183301228854
0.251,2715.3082423597775
0.253,2714.569848289039
0.258,2710.995254456836
0.265,2707.110567715767
0.274,2699.8226403496615
0.282,2695.796109621131
0.284,2693.453314316382
0.286,2694.1545879917135
0.288,2695.8615072463717
0.289,2700.7273752012834
0.29,2707.3109855072416
0.293,2714.5425700483047
0.295,2722.7498840579665
0.297,2732.4069565217346
0.298,2753.2939420289804
0.299,2786.7386086956476
0.302,2828.611661835744
0.308,2877.5065507246327
0.322,2933.0063864734248
0.328,2991.904173913038
0.332,3052.527285024149
0.346,3113.081159420284
0.351,3173.8423381642456
0.354,3233.7638454106227
0.367,3291.204502415453
0.376,3345.237082125598
0.385,3395.510685990332
0.402,3438.124714975839
0.409,3472.577661835742
0.414,3509.589835748786
0.423,3527.2657584541
0.44,3545.618570048303
0.448,3564.861777777771
0.454,3589.1192753623122
0.47,3607.9620096618296
0.476,3624.8485990338104
0.478,3642.9075362318777
0.492,3660.6564251207665
0.499,3685.429198067626
0.505,3713.494763285018
0.512,3743.8087149758385
0.526,3776.980154589365
0.532,3812.012367149752
0.54,3847.102628019317
0.553,3882.265062801926
0.556,3916.84950724637
0.564,3950.5902608695587
0.57,3983.3224927536157
0.576,4014.09518840579
0.581,4042.499014492747
0.585,4045.002782608689
0.597,4049.7156135265623
0.603,4055.6196521739057
0.607,4067.4245797101376
0.611,4086.6729275362254
0.621,4130.029429951684
0.626,4184.871845410621
0.629,4245.49634782608
0.638,4305.7619323671415
0.642,4370.216859903375
0.643,4435.05325603864
0.653,4498.553236714968
0.662,4566.614917874388
0.669,4639.486995169074
0.689,4714.202338164243
0.698,4786.821816425112
0.706,4855.89004830917
0.714,4919.078763285015
0.729,4975.241642512068
0.736,5022.691033816415
0.742,5060.329623188397
0.756,5086.793990338155
0.764,5100.758376811586
0.77,5100.784038647334
0.788,5085.004792270522
0.797,5086.519285024146
0.801,5087.621913043469
0.817,5092.825584541054
0.824,5099.598859903372
0.828,5105.672135265691
0.833,5112.568309178735
0.849,5118.8600966183485
0.856,5125.819053140087
0.861,5132.586086956513
0.876,5138.668541062793
0.883,5144.945700483083
0.89,5151.787381642503
0.908,5158.9251400966095
0.917,5165.913159420281
0.922,5173.003845410619
0.937,5180.186647342985
0.943,5187.201198067623
0.949,5193.962241545885
0.953,5200.210647342987
0.963,5205.995516908203
0.967,5211.331729468589
0.97,5216.331111111102
0.982,5220.998995169073
0.985,5225.326589371971
0.987,5229.380135265691
0.991,5233.039227053132
0.993,5236.463478260861
0.994,5239.762666666657
1.0,5243.02231884057
1.003,5246.295942028976
1.004,5249.608676328494
1.007,5252.96063768115
1.012,5256.371555555546
1.014,5259.673140096609
1.016,5263.022801932359
1.025,5266.535536231875
1.03,5270.104483091778
1.033,5273.694531400957
1.042,5277.250512077285
1.047,5280.746396135256
1.051,5284.145236714967
1.063,5287.307246376802
1.068,5290.3745700483
1.07,5293.562685990329
1.082,5296.70554589371
1.087,5299.846705313999
1.09,5303.075942028976
1.095,5306.433120772937
1.106,5309.966879227044
1.112,5313.684154589362
1.12,5317.498782608686
1.135,5321.648502415449
1.142,5325.983980676319
1.148,5330.510975845401
1.164,5335.232309178735
1.173,5340.104367149749
1.182,5345.0997101449175
1.204,5350.187516908204
1.215,5355.314028985497
1.226,5360.533719806754
1.238,5365.566454106271
1.262,5370.439169082116
1.273,5375.127536231874
1.284,5379.627265700475
1.303,5383.894241545884
1.312,5387.980695652164
1.319,5391.964057971005
1.335,5396.000347826077
1.344,5399.768019323662
1.349,5403.459980676318
1.366,5407.133449275352
1.374,5410.796096618347
