Vertical Position [m],Corrected sp Cond [uS/cm]
0.001,1764.3
0.009,1763.7
0.014,1763.3
0.019,1763.2
0.032,1763.4
0.038,1763.6
0.043,1764.0
0.049,1764.6
0.064,1766.6
0.07,1769.7
0.076,1773.2
0.09,1777.4
0.096,1781.6
0.1,1785.5
0.112,1789.3
0.117,1791.1
0.12,1794.5
0.129,1797.5
0.133,1800.0
0.135,1802.6
0.145,1805.1
0.15,1807.7
0.154,1810.6
0.158,1812.0
0.166,1814.8
0.168,1817.3
0.17,1819.8
0.177,1822.2
0.18,1824.5
0.183,1932.5
0.193,1941.4
0.196,1950.3
0.199,1957.5
0.208,1987.3
0.213,1969.9
0.214,1949.7
0.218,1938.5
0.219,1924.2333333333336
0.22,1925.0
0.221,1924.1999999999998
0.224,1931.65
0.227,1940.6
0.229,1943.5
0.232,2252.5
0.233,2533.9928571428572
0.234,2492.7204724409453
0.235,2485.7589873417724
0.236,2487.694718309859
0.237,2479.8920147420145
0.238,2485.5185273159145
0.239,2547.0008695652177
0.24,2660.7934210526314
0.241,2671.3923076923074
0.242,2678.6507692307696
0.243,2686.279365079365
0.244,2691.5071428571428
0.245,2693.2499999999995
0.246,2696.3333333333335
0.247,2698.2
0.25,2698.5
0.251,2698.7
0.253,2699.1
0.258,2699.5
0.265,2700.3
0.274,2702.0
0.282,2719.0
0.284,2719.45
0.286,2715.8
0.288,2703.8
0.289,2713.5
0.29,2712.1
0.293,2705.4
0.295,2710.8
0.297,2723.3
0.298,2707.1
0.299,2708.7
0.302,2876.5
0.308,2884.4
0.322,2920.3
0.328,2940.7
0.332,3003.0
0.346,3037.1
0.351,3106.8
0.354,3216.3
0.367,3351.3
0.376,3517.5
0.385,3533.8
0.402,3498.2
0.409,3498.7
0.414,3498.4
0.423,3498.7
0.44,3517.6
0.448,3542.6
0.454,3569.7
0.47,3596.8
0.476,3612.0
0.478,3624.1
0.492,3639.6
0.499,3646.5
0.505,3663.4
0.512,3679.7
0.526,3695.5
0.532,3978.6
0.54,3994.7
0.553,3966.5
0.556,3872.15
0.564,3898.8
0.57,3903.8500000000004
0.576,3909.8
0.581,4013.8
0.585,4106.3
0.597,4155.7
0.603,4156.8
0.607,4156.3
0.611,4149.0
0.621,4150.0
0.626,4153.4
0.629,4165.1
0.638,4178.9
0.642,4192.2
