ID,total_bp_ic,fwl_bp_ic,vp_fwl_ic,total_bp_bic,fwl_bp_bic,vp_fwl_bic,vp_fwl_dgh,COMENTARIOS,SEC Profile Features,vp_fwl_lrst
AW1D_YSI_20230826,6,2,16.317073,3,1,17.169116,16.38659418001383,,,6.12
AW2D_YSI_20230815,7,2,9.563224,3,1,9.907636,11.319882373284436,,,13.103
AW5D_YSI_20230824,5,1,14.134225,4,1,13.652858,12.090368176492241,,,12.58
AW6D_YSI_20230815,5,2,13.216555,2,1,13.561559,13.844801382896721,,,13.016
AW7D_YSI_20230814,2,1,13.290227,2,1,13.290227,13.316417773458392,No está correctamente cortado el perfil,,12.881
BW1D_YSI_20230824,3,1,14.125652,3,1,14.125652,14.11702826234562,,,
BW2D_YSI_20230819,3,1,13.997452,3,1,13.997452,14.581115193038581,,,14.038
BW3D_YSI_20230818,4,1,11.701564,4,1,11.701564,12.974280266081818,,,10.784
BW4D_YSI_20230816,2,1,14.358411,2,1,14.358411,14.124974142853317,,,14.014
BW5D_YSI_20230822,4,2,12.393402,2,1,11.527182,10.262300310511737,,,
BW6D_YSI_20230826,2,1,11.879274,2,1,11.879274,9.706993741019698,,,9.319
BW7D_YSI_20230826,4,1,13.17344,4,1,13.17344,10.109164931942416,,,8.949
BW8D_YSI_20230823,4,1,14.446272,3,1,15.131973,14.618607819215944,,,11.223
BW9D_YSI_20230823,2,1,14.115026,2,1,14.115026,12.398002821088205,,,6.05
BW10D_YSI_20230825,4,1,10.022717,4,1,10.022717,11.276225892491652,,,9.71
BW11D_YSI_20230823,4,1,12.179764,4,1,12.179764,11.64505535703357,,,12.929
LRS33D_YSI_20230822,6,1,12.996609,3,1,12.077056,4.109975358728541,,,
LRS65D_YSI_20220812,5,1,11.498005,5,1,11.498005,11.30349218941872,,,10.907
LRS69D_YSI_20230818,4,1,7.60556,4,1,7.60556,8.241151590184584,,,8.022
LRS70D_YSI_20230822,2,1,11.580626,2,1,11.580626,10.6681098710112,,,11.631
LRS75D_YSI_20230819,3,1,18.027207,2,1,17.95637,17.567690271795627,,,17.924
LRS79D_YSI_20230827,4,1,13.396252,4,1,13.396252,12.548109383494221,,,8.146
LRS81D_YSI_20230823,4,1,13.79085,3,1,14.923333,14.170792228138712,,,14.23
LRS89D_YSI_20230825,3,1,10.868598,3,1,10.868598,10.920540206522912,,,10.538
LRS90D_YSI_20230827,7,1,14.161785,3,1,12.560786,12.070125149056835,,,13.073
