pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,0.6765050155586301,2.994108284804497,2.8306981403680402,2.821431261714414,677.1706714541914,662.8744224198291,-0.003998474966184121,-6.168548872911366,-1,False,False
2,2.994108284804497,5.177217441232195,2.821431261714414,2.818810175736614,662.8744224198291,658.8858421775694,-0.0012006206698747736,-1.8270182370479051,-1,False,False
3,5.177217441232195,12.313094912638327,2.818810175736614,2.803515321570701,658.8858421775694,636.0852450329094,-0.002143373989702091,-3.1952058083989465,-1,False,False
4,12.313094912638327,13.448958918314034,2.803515321570701,2.8065464378890947,636.0852450329094,640.5402690794982,0.002668555657409382,3.9221456303993243,1,False,False
5,13.448958918314034,13.900255890441999,2.8065464378890947,3.668044989976278,640.5402690794982,4656.343275972611,1.9089393576584996,8898.36018167309,1,True,False
6,13.900255890441999,14.388159659443957,3.668044989976278,3.8612929810785155,4656.343275972611,7265.959638446897,0.39607808625364793,5348.629234433751,1,False,False
7,14.388159659443957,16.39990260843847,3.8612929810785155,3.982677122015968,7265.959638446897,9608.97629544423,0.06033779862289125,1164.6699983058938,1,False,False
8,16.39990260843847,17.12886968657548,3.982677122015968,4.0806269979469425,9608.97629544423,12040.014167221834,0.134368037828678,3334.90763120675,1,False,False
9,17.12886968657548,18.05505096941995,4.0806269979469425,4.143224503168245,12040.014167221834,13906.713358048277,0.06758666621836093,2015.4792861862607,1,False,False
10,18.05505096941995,18.690346449832802,4.143224503168245,4.168428722815046,13906.713358048277,14737.666439139355,0.03967322360049141,1307.978895979355,1,False,False
11,18.690346449832802,19.680670868429193,4.168428722815046,4.199050968060884,14737.666439139355,15814.336227374046,0.030921428039954436,1087.1889736503513,1,False,False
12,19.680670868429193,20.00109437724111,4.199050968060884,4.214106041256615,15814.336227374046,16372.162301046554,0.04698492083665616,1740.9024566919093,1,False,False
13,20.00109437724111,20.69392932628997,4.214106041256615,4.275633003726467,16372.162301046554,18863.965945167816,0.08880464611999939,3596.5328359114405,1,False,False
14,20.69392932628997,21.08286646454629,4.275633003726467,4.37052279059965,18863.965945167816,23470.524264173826,0.2439720395398412,11843.966198903332,1,False,False
