pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,3.074502113459714,4.482720325600791,2.585991709054231,2.590532082781716,385.4709987197447,389.5220819360353,0.0032241975628067862,2.876743945905406,1,False,False
2,4.482720325600791,6.14502882787524,2.590532082781716,2.5939551278767756,389.5220819360353,392.60436868165675,0.0020592116868654925,1.8542206464107684,1,False,False
3,6.14502882787524,9.13178884261315,2.5939551278767756,2.5946443613136467,392.60436868165675,393.22793380571204,0.00023076291147268056,0.20877644034952977,1,False,False
4,9.13178884261315,10.294425898722855,2.5946443613136467,3.0709263231818182,393.22793380571204,1177.4062129764138,0.40965661585039825,674.4824406290963,1,True,False
5,10.294425898722855,11.900480572222369,3.0709263231818182,3.343103408651376,1177.4062129764138,2203.451058200022,0.16946937732605158,638.8604710373321,1,False,False
6,11.900480572222369,12.850365252731887,3.343103408651376,3.5560443942189663,2203.451058200022,3597.8611114008027,0.2241756183007066,1467.978252320923,1,False,False
7,12.850365252731887,14.262193263103493,3.5560443942189663,3.743945874754974,3597.8611114008027,5545.565953814259,0.13309091415926094,1379.562402860107,1,False,False
8,14.262193263103493,15.149881001522262,3.743945874754974,3.8398352005687357,5545.565953814259,6915.684952808553,0.1080214603218117,1543.4695554484908,1,False,False
9,15.149881001522262,15.817262157392827,3.8398352005687357,3.951929015921375,6915.684952808553,8952.184329301863,0.1679607138538676,3051.4786918680657,1,False,False
10,15.817262157392827,16.16402365462279,3.951929015921375,4.030779233298864,8952.184329301863,10734.43605621573,0.22739034756559956,5139.7047860014745,1,False,False
11,16.16402365462279,16.568646987163504,4.030779233298864,4.116694049163718,10734.43605621573,13082.599581429513,0.2123328264966265,5803.33197907586,1,False,False
12,16.568646987163504,16.93197417016079,4.116694049163718,4.137415620536712,13082.599581429513,13721.943302428286,0.057032813240258454,1759.6914046575787,1,False,False
13,16.93197417016079,20.047395835173077,4.137415620536712,4.413190335040719,13721.943302428286,25893.47480746333,0.08851922601716886,3906.864885009727,1,False,False
14,20.047395835173077,20.95778077368271,4.413190335040719,4.51491327206643,25893.47480746333,32727.53319770881,0.11173618183121393,7506.778837349102,1,False,False
