pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,5.239660787269765,5.719763497741894,2.7038658139046703,2.74936755620559,505.6683990192545,561.5230084403445,0.0947750164879793,116.33887541722682,1,False,False
2,5.719763497741894,7.68836297831519,2.74936755620559,3.141429332235607,561.5230084403445,1384.934813016842,0.1991577158782145,418.272895376719,1,False,False
3,7.68836297831519,8.25711455427573,3.141429332235607,3.2060615486044006,1384.934813016842,1607.1690063101942,0.11363874686349477,390.74035604741874,1,False,False
4,8.25711455427573,9.385031823620936,3.2060615486044006,3.5540716068583347,1607.1690063101942,3581.554852277622,0.3085421845309326,1750.4704463950852,1,False,False
5,9.385031823620936,10.327075602088406,3.5540716068583347,3.7381830249576886,3581.554852277622,5472.465407090296,0.1954382824956065,2007.2427609349895,1,False,False
6,10.327075602088406,11.756414509022095,3.7381830249576886,3.81123250639612,5472.465407090296,6474.891665054402,0.05110718044829691,701.3216061644728,1,True,False
7,11.756414509022095,14.19878953619566,3.81123250639612,4.14388312399605,6474.891665054402,13927.819312878099,0.1361996474328879,3051.508292094104,1,False,False
8,14.19878953619566,14.804975443575074,4.14388312399605,4.202937113263685,13927.819312878099,15956.480773762707,0.097418941200613,3346.599510461501,1,False,False
9,14.804975443575074,15.708691819503708,4.202937113263685,4.257871557013699,15956.480773762707,18108.0446635682,0.060787261593622015,2380.795509647156,1,False,False
10,15.708691819503708,17.608793156979136,4.257871557013699,4.458800551593633,18108.0446635682,28760.77281741375,0.10574646236863278,5606.400008117098,1,False,False
11,17.608793156979136,18.40587763263685,4.458800551593633,4.4884102717908405,28760.77281741375,30790.041324776856,0.03714753090978833,2545.8637940334397,1,False,False
12,18.40587763263685,19.71581879306525,4.4884102717908405,4.596154752276491,30790.041324776856,39459.78842034771,0.08225138940623435,6618.4248250780465,1,False,False
13,19.71581879306525,20.771574555632743,4.596154752276491,4.6347896186193225,39459.78842034771,43131.00905344404,0.036594511451090876,3477.338948326729,1,False,False
14,20.771574555632743,23.337751899947136,4.6347896186193225,4.6782568555953805,43131.00905344404,47671.284661469435,0.016938516378208923,1769.2758523041296,1,False,True
