pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,4.575185546434348,5.606714743457845,2.993525060021452,3.0096558784793945,985.2014900797907,1022.4824877020748,0.015637772061603886,36.141485602016225,1,False,False
2,5.606714743457845,6.479701982355724,3.0096558784793945,3.0575557986411472,1022.4824877020748,1141.7099833725154,0.05486898092831797,136.5741563656323,1,False,False
3,6.479701982355724,7.447694046790658,3.0575557986411472,3.251925828408047,1141.7099833725154,1786.1824931196525,0.20079713141074507,665.7828441221247,1,True,False
4,7.447694046790658,8.297026819188435,3.251925828408047,3.375942972824016,1786.1824931196525,2376.5282043945454,0.14601714245154135,695.0699778230268,1,False,False
5,8.297026819188435,8.671654110607378,3.375942972824016,3.6381451337125026,2376.5282043945454,4346.554542467522,0.6999013870435518,5258.63006566148,1,False,False
6,8.671654110607378,9.21358674331157,3.6381451337125026,3.8290500062869657,4346.554542467522,6746.056998432879,0.35226679674531863,4427.676635732504,1,False,False
7,9.21358674331157,10.800013893193285,3.8290500062869657,4.051012204114081,6746.056998432879,11246.365769478825,0.1399132622280609,2836.7572827920235,1,False,False
8,10.800013893193285,13.101484936206678,4.051012204114081,4.283996670140678,11246.365769478825,19230.769840754027,0.10123284702359,3469.2611473490247,1,False,False
9,13.101484936206678,14.990894959381484,4.283996670140678,4.39620199428641,19230.769840754027,24900.15177546898,0.059386434267555924,3000.6096427860593,1,False,False
10,14.990894959381484,16.789350029741097,4.39620199428641,4.446087364404745,24900.15177546898,27931.05656966311,0.027737901791652708,1685.2824650148625,1,False,False
11,16.789350029741097,18.169728484439318,4.446087364404745,4.569751035010706,27931.05656966311,37132.23027072521,0.08958678700400033,6665.689159190526,1,False,False
12,18.169728484439318,21.836371621049125,4.569751035010706,4.6671644379204675,37132.23027072521,46469.118901305235,0.026567462193724915,2546.4405132191164,1,False,False
13,21.836371621049125,22.595454783191336,4.6671644379204675,4.682176696196299,46469.118901305235,48103.502160152195,0.019776829502402962,2153.101715804841,1,False,False
14,22.595454783191336,25.12822769849866,4.682176696196299,4.707535166571081,48103.502160152195,50995.88893255666,0.010012137377782046,1141.9842477482869,1,False,True
