pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,4.182876214417602,5.47724061954124,2.992097830722163,3.00381349529062,981.9691199697139,1008.8195625767981,0.009051287660632337,20.744113868396653,1,False,False
2,5.47724061954124,6.468891595674001,3.00381349529062,3.052572057729645,1008.8195625767981,1128.683192040406,0.04916907622999934,120.87279935028342,1,False,False
3,6.468891595674001,8.655031430160186,3.052572057729645,3.463653931139328,1128.683192040406,2908.398628270158,0.18804006355169905,814.0903926431787,1,True,False
4,8.655031430160186,8.939502073818344,3.463653931139328,3.8038746265627577,2908.398628270158,6366.117153937218,1.1959782248472162,12154.922143116168,1,False,False
5,8.939502073818344,11.22612527763142,3.8038746265627577,4.103538638834383,6366.117153937218,12692.25061365536,0.13105089276270726,2766.5832521811867,1,False,False
6,11.22612527763142,12.164116066935545,4.103538638834383,4.145405284107374,12692.25061365536,13976.72061820925,0.04463438847203517,1369.3844536648492,1,False,False
7,12.164116066935545,12.46971485458309,4.145405284107374,4.243292883575353,13976.72061820925,17510.271646091085,0.3203140962092908,11562.712846744562,1,False,False
8,12.46971485458309,14.926910174342371,4.243292883575353,4.395091610841693,17510.271646091085,24836.569570083953,0.06177723278473885,2981.5692163659946,1,False,False
9,14.926910174342371,16.993446662119716,4.395091610841693,4.450429101781213,24836.569570083953,28211.689919668956,0.02677789202698221,1633.225626330508,1,False,False
10,16.993446662119716,18.094025375055068,4.450429101781213,4.571844443484507,28211.689919668956,37311.649020536475,0.11031954396016548,8268.340095909205,1,False,False
11,18.094025375055068,20.236109864395406,4.571844443484507,4.618852354871553,37311.649020536475,41576.923927912,0.02194493803627787,1991.1795863332318,1,False,False
12,20.236109864395406,20.77078589276086,4.618852354871553,4.644720754484366,41576.923927912,44128.661474972534,0.04838144640951045,4772.492896046594,1,False,False
13,20.77078589276086,22.57709942808605,4.644720754484366,4.682134930214542,44128.661474972534,48098.87628192062,0.02071300192269254,2197.9654856726315,1,False,True
14,22.57709942808605,25.12881043758856,4.682134930214542,4.707726261911032,48098.87628192062,51018.332738393205,0.010029086993467452,1144.117200419877,1,False,False
