ID,Longitude,Latitude,WL_datum
AW1,-78.09316345,25.1038738,2.405048294
AW2,-78.08146228,25.09835459,3.646288528
AW5,-78.07748464,25.11756186,1.354023438
AW6,-78.04681602,25.1131928,2.652446365
AW7,-78.05685006,25.09656542,2.210561523
BW10,-78.03190488,25.08861044,2.103683167
BW11,-78.16054553,25.10753225,0.9251422882
BW1,-78.11067166,25.10773419,1.615214249
BW2,-78.07092261,25.07450536,3.852724457
BW3,-78.03354166,25.1114677,1.649518509
BW4,-78.03401174,25.13215592,5.047966385
BW5,-78.0086764,25.13975181,3.219154
BW6,-78.03172356,25.06908384,1.282156754
BW7,-78.01571159,25.0701557,1.923396225
BW8,-78.15597606,25.11077126,3.277556305
BW9,-78.17159647,25.11131483,1.730550156
LRS33,-78.023963,25.137442,2.40184
LRS65,-78.05717128,25.05594402,2.864307404
LRS69,-78.022875,25.111587,3.51317
LRS70,-78.00389756,25.12135081,1.546465912
LRS75,-78.07042663,25.14120432,1.822935715
LRS79,-78.10176097,25.08908425,2.403576736
LRS81,-78.13345437,25.10567952,1.406249924
LRS89,-78.05904916,25.07739718,2.863620758
LRS90,-78.08476505,25.06437428,1.93207756
