ID,Longitude,Latitude,WL_datum
AW1,-78.09316345,25.1038738,0.91
AW2,-78.08146228,25.09835459,1.875
AW5,-78.07748464,25.11756186,0.11
AW6,-78.04681602,25.1131928,1.625
AW7,-78.05685006,25.09656542,1.015
BW10,-78.03190488,25.08861044,1.33
BW11,-78.16054553,25.10753225,0.76
BW1,-78.11067166,25.10773419,0.846
BW2,-78.07092261,25.07450536,1.955
BW3,-78.03354166,25.1114677,1.365
BW4,-78.03401174,25.13215592,1.81
BW6,-78.03172356,25.06908384,0.995
BW7,-78.01571159,25.0701557,1.11
BW8,-78.15597606,25.11077126,0.72
BW9,-78.17159647,25.11131483,0.71
LRS65,-78.05717128,25.05594402,1.07
LRS70,-78.00389756,25.12135081,2.06
LRS75,-78.07042663,25.14120432,1.67
LRS79,-78.10176097,25.08908425,0.98
LRS81,-78.13345437,25.10567952,0.845
LRS89,-78.05904916,25.07739718,0.91
LRS90,-78.08476505,25.06437428,1.4
