run_id,timestamp,stage,well_id,date,method_signature,input_file,output_file,params_json,notes
9452c1a3,2026-05-01T02:25:54,breakpoints,LRS70D,20220131,bp-savgol-max10-t1,data/raw/sec/2022_02/D/LRS70_D_YSI_20220131.csv,data/breakpoints/2022_02/LRS70D_20220131__bp-savgol-max10-t1.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":1,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T02:26:25
fc630fba,2026-05-01T02:26:25,breakpoints,LRS70D,20220131,bp-lowess-max10-t1,data/raw/sec/2022_02/D/LRS70_D_YSI_20220131.csv,data/breakpoints/2022_02/LRS70D_20220131__bp-lowess-max10-t1.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":1,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T02:26:57
fd37593f,2026-04-30T23:49:06,breakpoints,AW5D,20220213,bp-savgol-max10-t3,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,data\breakpoints\2022_02\AW5D_20220213__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-04-30T23:53:09
f6d36361,2026-04-30T23:53:09,breakpoints,AW5D,20220213,bp-lowess-max10-t3,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,data\breakpoints\2022_02\AW5D_20220213__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-04-30T23:55:20
fd37593f,2026-04-30T23:55:30,breakpoints,AW6D,20220219,bp-savgol-max10-t3,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,data\breakpoints\2022_02\AW6D_20220219__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:00:00
f6d36361,2026-05-01T00:00:00,breakpoints,AW6D,20220219,bp-lowess-max10-t3,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,data\breakpoints\2022_02\AW6D_20220219__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:04:08
fd37593f,2026-05-01T00:04:17,breakpoints,BW3D,20220202,bp-savgol-max10-t3,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,data\breakpoints\2022_02\BW3D_20220202__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:08:16
f6d36361,2026-05-01T00:08:16,breakpoints,BW3D,20220202,bp-lowess-max10-t3,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,data\breakpoints\2022_02\BW3D_20220202__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:13:09
fd37593f,2026-05-01T00:13:18,breakpoints,LRS69D,20220212,bp-savgol-max10-t3,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,data\breakpoints\2022_02\LRS69D_20220212__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:20:25
f6d36361,2026-05-01T00:20:25,breakpoints,LRS69D,20220212,bp-lowess-max10-t3,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,data\breakpoints\2022_02\LRS69D_20220212__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:27:35
fd37593f,2026-05-01T00:27:43,breakpoints,LRS70D,20220131,bp-savgol-max10-t3,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:31:24
f6d36361,2026-05-01T00:31:24,breakpoints,LRS70D,20220131,bp-lowess-max10-t3,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-01T00:34:55
b7a918f7,2026-05-01T12:54:42,smoothing,AW5D,20220213,savgol-w11-o3-seg,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\savgol\AW5D_20220213__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""log10"":true,""method"":""savgol"",""order"":3,""segmented"":true,""window"":11}",
ea9be071,2026-05-01T12:54:42,smoothing,AW5D,20220213,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,data\processed\sec\2022_02\lowess\AW5D_20220213__lowess-f0.05-i2-pava.csv,"{""depth_adj"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""pava"":true}",
b7a918f7,2026-05-01T12:54:43,smoothing,AW6D,20220219,savgol-w11-o3-seg,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\savgol\AW6D_20220219__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""log10"":true,""method"":""savgol"",""order"":3,""segmented"":true,""window"":11}",
ea9be071,2026-05-01T12:54:44,smoothing,AW6D,20220219,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,data\processed\sec\2022_02\lowess\AW6D_20220219__lowess-f0.05-i2-pava.csv,"{""depth_adj"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""pava"":true}",
b7a918f7,2026-05-01T12:54:45,smoothing,BW3D,20220202,savgol-w11-o3-seg,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\savgol\BW3D_20220202__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""log10"":true,""method"":""savgol"",""order"":3,""segmented"":true,""window"":11}",
ea9be071,2026-05-01T12:54:45,smoothing,BW3D,20220202,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,data\processed\sec\2022_02\lowess\BW3D_20220202__lowess-f0.05-i2-pava.csv,"{""depth_adj"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""pava"":true}",
b7a918f7,2026-05-01T12:54:46,smoothing,LRS69D,20220212,savgol-w11-o3-seg,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\savgol\LRS69D_20220212__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""log10"":true,""method"":""savgol"",""order"":3,""segmented"":true,""window"":11}",
ea9be071,2026-05-01T12:54:47,smoothing,LRS69D,20220212,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,data\processed\sec\2022_02\lowess\LRS69D_20220212__lowess-f0.05-i2-pava.csv,"{""depth_adj"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""pava"":true}",
b7a918f7,2026-05-01T12:54:48,smoothing,LRS70D,20220131,savgol-w11-o3-seg,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\savgol\LRS70D_20220131__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""log10"":true,""method"":""savgol"",""order"":3,""segmented"":true,""window"":11}",
ea9be071,2026-05-01T12:54:48,smoothing,LRS70D,20220131,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,data\processed\sec\2022_02\lowess\LRS70D_20220131__lowess-f0.05-i2-pava.csv,"{""depth_adj"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""pava"":true}",
748c9595,2026-05-03T22:49:02,smoothing,AW5D,20220213,savgol-w11-o3-seg,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\savgol\AW5D_20220213__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-03T22:49:03,smoothing,AW5D,20220213,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\lowess\AW5D_20220213__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-03T22:49:04,smoothing,AW6D,20220219,savgol-w11-o3-seg,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\savgol\AW6D_20220219__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-03T22:49:04,smoothing,AW6D,20220219,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\lowess\AW6D_20220219__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
748c9595,2026-05-03T22:49:05,smoothing,BW3D,20220202,savgol-w11-o3-seg,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\savgol\BW3D_20220202__savgol-w11-o3-seg.csv,"{""depth_adj"":null,""depth_adj_value"":null,""gradient_factor"":20.0,""log10"":true,""method"":""savgol"",""min_gradient_threshold"":1000.0,""monotonic_descent"":true,""order"":3,""segmented"":true,""window"":11}",
c94b7a7c,2026-05-03T22:49:06,smoothing,BW3D,20220202,lowess-f0.05-i2-pava,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,results\savgol_window_sensitivity\2022_02\processed_sec\window11\lowess\BW3D_20220202__lowess-f0.05-i2-pava.csv,"{""degree"":1,""depth_adj"":null,""depth_adj_value"":null,""frac"":0.05,""iter"":2,""log10"":true,""method"":""lowess"",""monotonic_descent"":true,""pava"":true}",
