well_id,campaign,date,method,trial,n_breakpoints,bp_idx,depth_wt_m,vadose_m,depth_bgl_m,is_top_mz,is_bot_mz
AW5D,2022_02,2022-02-13,savgol,trial_3,15,1,0.6765,0.64,1.3165,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,2,2.9941,0.64,3.6341,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,3,5.1772,0.64,5.8172,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,4,12.3131,0.64,12.9531,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,5,13.449,0.64,14.089,True,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,6,13.9003,0.64,14.5403,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,7,14.3882,0.64,15.0282,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,8,16.3999,0.64,17.0399,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,9,17.1289,0.64,17.7689,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,10,18.0551,0.64,18.6951,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,11,18.6903,0.64,19.3303,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,12,19.6807,0.64,20.3207,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,13,20.0011,0.64,20.6411,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,14,20.6939,0.64,21.3339,False,False
AW5D,2022_02,2022-02-13,savgol,trial_3,15,15,21.0829,0.64,21.7229,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,1,3.0745,1.265,4.3395,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,2,4.4827,1.265,5.7477,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,3,6.145,1.265,7.41,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,4,9.1318,1.265,10.3968,True,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,5,10.2944,1.265,11.5594,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,6,11.9005,1.265,13.1655,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,7,12.8504,1.265,14.1154,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,8,14.2622,1.265,15.5272,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,9,15.1499,1.265,16.4149,False,False
AW6D,2022_02,2022-02-19,lowess,trial_1,15,10,15.8173,1.265,17.0823,False,False
