well_id,smoothing,N,bp_index,depth_bgl_m,sec_at_bp_uS_cm,cluster_id
AW5D,savgol,1,1,10.68369495444752,642.487093882013,4
AW5D,savgol,2,1,14.069667345367918,633.4454597047154,6
AW5D,savgol,2,2,14.64290003170875,6274.158913066805,6
AW5D,savgol,3,1,14.110302624602122,633.9189934972188,6
AW5D,savgol,3,2,14.404420016934392,2911.09628600927,6
AW5D,savgol,3,3,14.753102808189594,6437.511055864457,6
AW5D,savgol,4,1,14.068247669275925,633.4497628207,6
AW5D,savgol,4,2,14.646798090459713,6301.016759073375,6
AW5D,savgol,4,3,18.662781539023566,13931.422407683374,8
AW5D,savgol,4,4,20.367312789701877,15921.841986120704,9
AW5D,savgol,5,1,3.4719445756049137,664.5060888604314,1
AW5D,savgol,5,2,14.068699832471378,634.5881004539322,6
AW5D,savgol,5,3,14.646798090459713,6301.016759073246,6
AW5D,savgol,5,4,18.662781539023534,13931.42240768309,8
AW5D,savgol,5,5,20.367312789701888,15921.841986120215,9
AW5D,savgol,6,1,14.068247669275927,633.4497628206664,6
AW5D,savgol,6,2,14.646798090459715,6301.016759073027,6
AW5D,savgol,6,3,18.6596753790244,13922.87556020947,8
AW5D,savgol,6,4,20.59227416597847,16217.061981574147,9
AW5D,savgol,6,5,21.33328351597539,18857.123442919536,9
AW5D,savgol,6,6,21.722866464546286,23470.524264175314,9
AW5D,savgol,7,1,3.7452989889002204,662.7010193219412,1
AW5D,savgol,7,2,5.150887733445094,660.1013912393237,2
AW5D,savgol,7,3,14.068602716240004,634.3434343616442,6
AW5D,savgol,7,4,14.646695731368588,6298.4562720694275,6
AW5D,savgol,7,5,18.551127626578662,13637.73976153852,8
AW5D,savgol,7,6,21.085495950359725,17257.47419685901,9
AW5D,savgol,7,7,21.775359664898307,23707.094385550427,9
AW5D,savgol,8,1,3.7380416475827594,662.7414772690682,1
AW5D,savgol,8,2,5.912389087064822,658.6433054076967,2
AW5D,savgol,8,3,12.735346682110608,636.6621226691386,5
AW5D,savgol,8,4,14.070450995090507,639.0160531680484,6
AW5D,savgol,8,5,14.646695731368588,6298.456272069801,6
AW5D,savgol,8,6,18.553925452958726,13645.291456756928,8
AW5D,savgol,8,7,21.07884144609248,17236.672402067714,9
AW5D,savgol,8,8,21.776938984977278,23712.09105149395,9
AW5D,savgol,9,1,1.2893539910783636,677.2366523316,0
AW5D,savgol,9,2,3.452273581564663,664.1679917712792,1
AW5D,savgol,9,3,14.110908603734398,635.2139434745702,6
AW5D,savgol,9,4,14.407958277633867,2971.663573964056,6
