well_id,delta_m,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
LRS70D,0.5,3,8.915728132546384,8.687666165020282,9.884925402512758,0.20794428277528,9,9,18,9,1.1972592374924762,False,19
LRS70D,0.5,4,13.273720601278,11.669219481070906,14.159355480065681,0.9200121580128897,9,9,18,9,2.4901359989947753,True,36
LRS70D,0.5,2,4.7116664496573835,4.185353782610022,5.755848174765544,0.4520154752810992,8,8,16,8,1.5704943921555214,False,21
LRS70D,0.5,0,2.64545386749045,1.864605566841579,3.0651995220397703,0.3584015406558212,6,6,12,6,1.2005939551981912,False,15
LRS70D,0.5,6,22.45772399126969,21.8826583950143,23.057304954455176,0.32146870891868673,6,5,11,5,1.1746465594408768,False,11
LRS70D,0.5,7,24.60340653355071,24.176896139548447,24.617802794416342,0.22045332743394752,2,1,3,1,0.44090665486789504,False,3
LRS70D,0.5,5,15.264873388623803,15.241434800581018,15.288311976666588,0.023438588042782982,1,1,2,1,0.046877176085569516,False,2
LRS70D,0.5,8,26.393299232161553,26.37980900432112,26.406789460001985,0.01349022784043541,1,1,2,1,0.026980455680863713,False,2
LRS70D,0.5,1,3.574251930411039,3.574251930411039,3.574251930411039,0.0,1,0,1,0,0.0,False,1
AW5D,0.5,6,14.068425086680758,13.708401704475346,14.070540855384053,0.35663493545147773,9,5,14,5,0.36213915090870685,False,14
AW5D,0.5,7,14.646798090459715,14.642370322872694,14.95707282189839,0.14492697537703947,9,5,14,5,0.3147024990256959,False,15
AW5D,0.5,9,18.659675379024392,18.091234530256628,18.733061516844344,0.24689463363358755,7,4,11,4,0.6418269865877164,False,11
AW5D,0.5,10,21.22220636117869,20.367312789701803,22.008215008225548,0.9583312904152308,7,4,11,4,1.6409022185237454,False,22
AW5D,0.5,4,10.610778020806755,10.559319824534828,10.68369495444751,0.062187564956341035,2,1,3,1,0.12437512991268207,False,3
AW5D,0.5,8,17.19642698220625,16.920462653964314,17.196426982206315,0.13798216412099862,2,1,3,1,0.2759643282420008,False,3
AW5D,0.5,0,3.5556097692113937,3.4528723877706584,3.744412515345941,0.24029986599323205,6,0,6,0,0.2915401275752827,False,6
AW5D,0.5,5,12.879677547997954,12.722180599853536,13.037174496142372,0.15749694814441995,2,0,2,0,0.31499389628883634,False,2
AW5D,0.5,1,5.157884489924845,5.157884489924845,5.157884489924845,0.0,1,0,1,0,0.0,False,1
AW5D,0.5,2,5.926391842242874,5.926391842242874,5.926391842242874,0.0,1,0,1,0,0.0,False,1
AW5D,0.5,3,7.274737776371036,7.274737776371036,7.274737776371036,0.0,1,0,1,0,0.0,False,1
AW5D,0.5,11,22.96462428179906,22.96462428179906,22.96462428179906,0.0,0,1,1,0,0.0,False,1
AW6D,0.5,6,10.754826174854063,9.993864996446757,11.840941829844796,0.8135834715408077,9,9,18,9,1.8470768333980399,False,34
AW6D,0.5,9,17.671793249045788,16.59231866790704,18.620764472988366,0.8936546431599304,8,8,16,8,2.0284458050813257,True,30
AW6D,0.5,7,14.508925838100941,13.17506973330097,14.59346219793004,0.49033811138644623,8,7,15,7,1.4183924646290684,False,17
