delta_m,well_id,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
0.3,LRS70D,9,13.39804909332797,13.107057554353997,14.159355480065681,0.34400742249142624,9,9,18,9,1.0522979257116845,False,24
0.3,LRS70D,4,8.90398254995505,8.687666165020282,9.106199192039028,0.20381300657216173,8,8,16,8,0.4185330270187464,False,16
0.3,LRS70D,0,2.64545386749045,1.864605566841579,3.0651995220397703,0.3584015406558212,6,6,12,6,1.2005939551981912,False,15
0.3,LRS70D,2,4.654228404028141,4.185353782610022,4.751964936678051,0.1931946020394255,6,6,12,6,0.5666111540680285,False,13
0.3,LRS70D,3,5.218377838157838,5.072105888944388,5.755848174765544,0.4679218075660527,5,3,8,3,0.6837422858211557,False,8
0.3,LRS70D,7,11.978839429300933,11.669219481070906,12.062290091494344,0.17958757577434703,3,3,6,3,0.3930706104234378,False,6
0.3,LRS70D,8,12.524999450691833,12.502933797131716,12.655910023993664,0.10442351858782928,3,3,6,3,0.15297622686194856,False,6
0.3,LRS70D,12,22.471270614518694,22.361803559923644,22.51489165132118,0.07426089560935978,3,3,6,3,0.1530880913975352,False,6
0.3,LRS70D,11,21.896821563250985,21.8826583950143,22.02504232488104,0.07119196493336943,2,1,3,1,0.14238392986673887,False,3
0.3,LRS70D,5,9.496851241376433,9.438180051275463,9.555522431477403,0.058671190100969994,1,1,2,1,0.11734238020193999,False,2
0.3,LRS70D,10,15.264873388623803,15.241434800581018,15.288311976666588,0.023438588042782982,1,1,2,1,0.046877176085569516,False,2
0.3,LRS70D,13,23.01075753122549,22.964210107995804,23.057304954455176,0.046547423229689855,1,1,2,1,0.0930948464593726,False,2
0.3,LRS70D,15,24.610604663983526,24.60340653355071,24.617802794416342,0.007198130432819028,1,1,2,1,0.01439626086563095,False,2
0.3,LRS70D,16,26.393299232161553,26.37980900432112,26.406789460001985,0.01349022784043541,1,1,2,1,0.026980455680863713,False,2
0.3,LRS70D,1,3.574251930411039,3.574251930411039,3.574251930411039,0.0,1,0,1,0,0.0,False,1
0.3,LRS70D,6,9.884925402512758,9.884925402512758,9.884925402512758,0.0,0,1,1,0,0.0,False,1
0.3,LRS70D,14,24.176896139548447,24.176896139548447,24.176896139548447,0.0,1,0,1,0,0.0,False,1
0.5,LRS70D,3,8.915728132546384,8.687666165020282,9.884925402512758,0.20794428277528,9,9,18,9,1.1972592374924762,False,19
0.5,LRS70D,4,13.273720601278,11.669219481070906,14.159355480065681,0.9200121580128897,9,9,18,9,2.4901359989947753,True,36
0.5,LRS70D,2,4.7116664496573835,4.185353782610022,5.755848174765544,0.4520154752810992,8,8,16,8,1.5704943921555214,False,21
0.5,LRS70D,0,2.64545386749045,1.864605566841579,3.0651995220397703,0.3584015406558212,6,6,12,6,1.2005939551981912,False,15
0.5,LRS70D,6,22.45772399126969,21.8826583950143,23.057304954455176,0.32146870891868673,6,5,11,5,1.1746465594408768,False,11
0.5,LRS70D,7,24.60340653355071,24.176896139548447,24.617802794416342,0.22045332743394752,2,1,3,1,0.44090665486789504,False,3
0.5,LRS70D,5,15.264873388623803,15.241434800581018,15.288311976666588,0.023438588042782982,1,1,2,1,0.046877176085569516,False,2
0.5,LRS70D,8,26.393299232161553,26.37980900432112,26.406789460001985,0.01349022784043541,1,1,2,1,0.026980455680863713,False,2
0.5,LRS70D,1,3.574251930411039,3.574251930411039,3.574251930411039,0.0,1,0,1,0,0.0,False,1
1.0,LRS70D,1,8.915728132546384,8.687666165020282,9.884925402512758,0.20794428277528,9,9,18,9,1.1972592374924762,False,19
1.0,LRS70D,2,13.273720601278,11.669219481070906,14.159355480065681,0.9200121580128897,9,9,18,9,2.4901359989947753,True,36
1.0,LRS70D,0,4.51534410746008,1.864605566841579,5.755848174765544,2.069308596905579,8,8,16,8,3.8912426079239646,True,37
1.0,LRS70D,4,22.45772399126969,21.8826583950143,23.057304954455176,0.32146870891868673,6,5,11,5,1.1746465594408768,False,11
1.0,LRS70D,5,24.60340653355071,24.176896139548447,24.617802794416342,0.22045332743394752,2,1,3,1,0.44090665486789504,False,3
1.0,LRS70D,3,15.264873388623803,15.241434800581018,15.288311976666588,0.023438588042782982,1,1,2,1,0.046877176085569516,False,2
1.0,LRS70D,6,26.393299232161553,26.37980900432112,26.406789460001985,0.01349022784043541,1,1,2,1,0.026980455680863713,False,2
0.3,AW5D,9,14.646798090459715,14.642370322872694,14.95707282189839,0.14492697537703947,9,5,14,5,0.3147024990256959,False,15
0.3,AW5D,11,18.659675379024392,18.091234530256628,18.733061516844344,0.24689463363358755,7,4,11,4,0.6418269865877164,False,11
0.3,AW5D,12,20.83759497741914,20.367312789701803,21.333283515975385,0.5188550404035048,7,4,11,4,0.9659707262735822,False,13
0.3,AW5D,13,21.77693898497729,21.722866464546296,22.008215008225548,0.12057075854792032,6,3,9,3,0.2853485436792518,False,9
0.3,AW5D,4,10.610778020806755,10.559319824534828,10.68369495444751,0.062187564956341035,2,1,3,1,0.12437512991268207,False,3
0.3,AW5D,10,17.19642698220625,16.920462653964314,17.196426982206315,0.13798216412099862,2,1,3,1,0.2759643282420008,False,3
0.3,AW5D,8,14.068699832471378,14.068247669275925,14.070540855384053,0.0015138404388164162,9,0,9,0,0.002293186108127898,False,9
0.3,AW5D,0,3.5556097692113937,3.4528723877706584,3.744412515345941,0.24029986599323205,6,0,6,0,0.2915401275752827,False,6
0.3,AW5D,7,13.710503387136772,13.708401704475346,13.719651965358901,3.552713678800501e-15,0,5,5,0,0.011250260883555185,False,5
0.3,AW5D,1,5.157884489924845,5.157884489924845,5.157884489924845,0.0,1,0,1,0,0.0,False,1
0.3,AW5D,2,5.926391842242874,5.926391842242874,5.926391842242874,0.0,1,0,1,0,0.0,False,1
0.3,AW5D,3,7.274737776371036,7.274737776371036,7.274737776371036,0.0,1,0,1,0,0.0,False,1
0.3,AW5D,5,12.722180599853536,12.722180599853536,12.722180599853536,0.0,1,0,1,0,0.0,False,1
0.3,AW5D,6,13.037174496142372,13.037174496142372,13.037174496142372,0.0,1,0,1,0,0.0,False,1
0.3,AW5D,14,22.96462428179906,22.96462428179906,22.96462428179906,0.0,0,1,1,0,0.0,False,1
0.5,AW5D,6,14.068425086680758,13.708401704475346,14.070540855384053,0.35663493545147773,9,5,14,5,0.36213915090870685,False,14
0.5,AW5D,7,14.646798090459715,14.642370322872694,14.95707282189839,0.14492697537703947,9,5,14,5,0.3147024990256959,False,15
0.5,AW5D,9,18.659675379024392,18.091234530256628,18.733061516844344,0.24689463363358755,7,4,11,4,0.6418269865877164,False,11
0.5,AW5D,10,21.22220636117869,20.367312789701803,22.008215008225548,0.9583312904152308,7,4,11,4,1.6409022185237454,False,22
0.5,AW5D,4,10.610778020806755,10.559319824534828,10.68369495444751,0.062187564956341035,2,1,3,1,0.12437512991268207,False,3
0.5,AW5D,8,17.19642698220625,16.920462653964314,17.196426982206315,0.13798216412099862,2,1,3,1,0.2759643282420008,False,3
0.5,AW5D,0,3.5556097692113937,3.4528723877706584,3.744412515345941,0.24029986599323205,6,0,6,0,0.2915401275752827,False,6
0.5,AW5D,5,12.879677547997954,12.722180599853536,13.037174496142372,0.15749694814441995,2,0,2,0,0.31499389628883634,False,2
0.5,AW5D,1,5.157884489924845,5.157884489924845,5.157884489924845,0.0,1,0,1,0,0.0,False,1
0.5,AW5D,2,5.926391842242874,5.926391842242874,5.926391842242874,0.0,1,0,1,0,0.0,False,1
0.5,AW5D,3,7.274737776371036,7.274737776371036,7.274737776371036,0.0,1,0,1,0,0.0,False,1
0.5,AW5D,11,22.96462428179906,22.96462428179906,22.96462428179906,0.0,0,1,1,0,0.0,False,1
1.0,AW5D,4,14.070540855384053,12.722180599853536,14.95707282189839,0.57855042118379,9,5,14,5,2.234892222044854,True,31
1.0,AW5D,5,18.554556812252066,16.920462653964314,18.733061516844344,0.5707704687671473,7,4,11,4,1.81259886288003,False,14
1.0,AW5D,6,21.33328351597538,20.367312789701803,22.96462428179906,0.9536548178033968,7,4,11,4,2.5973114920972584,True,23
1.0,AW5D,3,10.610778020806755,10.559319824534828,10.68369495444751,0.062187564956341035,2,1,3,1,0.12437512991268207,False,3
1.0,AW5D,0,3.5556097692113937,3.4528723877706584,3.744412515345941,0.24029986599323205,6,0,6,0,0.2915401275752827,False,6
1.0,AW5D,1,5.542138166083859,5.157884489924845,5.926391842242874,0.3842536761590152,2,0,2,0,0.7685073523180295,False,2
1.0,AW5D,2,7.274737776371036,7.274737776371036,7.274737776371036,0.0,1,0,1,0,0.0,False,1
0.3,AW6D,9,11.346015379848199,11.139005095330862,11.840941829844796,0.3020350019381812,8,8,16,8,0.701936734513934,False,16
0.3,AW6D,14,17.75064813498795,17.37507165748977,18.620764472988366,0.14823778050326908,8,8,16,8,1.2456928154985967,False,19
0.3,AW6D,13,16.7110999676253,16.59231866790704,16.90260829294438,0.18302428103224955,5,6,11,5,0.31028962503733837,False,11
0.3,AW6D,11,14.551738640360712,14.50892583810093,14.59346219793004,0.08405696827843201,5,5,10,5,0.08453635982910868,False,10
0.3,AW6D,10,14.011344052098787,13.17506973330097,14.154868790141625,0.5270564345616222,3,2,5,2,0.9797990568406547,False,7
0.3,AW6D,2,4.103915758897757,3.9927669427112127,4.339502113460582,0.24345555744503722,2,2,4,2,0.3467351707493691,False,4
0.3,AW6D,7,10.40362348781118,9.993864996446757,10.414066503635304,0.04762955581979966,1,9,10,1,0.42020150718854765,False,10
0.3,AW6D,6,8.653632834010395,8.598192971214884,8.72644198392095,0.06770754854549743,4,1,5,1,0.1282490127060658,False,5
0.3,AW6D,1,3.2207072039733013,3.220707203973009,3.237234128940918,0.008263462483954154,1,2,3,1,0.01652692496790875,False,3
0.3,AW6D,18,21.27113110014761,21.271131100147553,21.510222118902792,0.11954550937761965,1,2,3,1,0.2390910187552393,False,3
0.3,AW6D,19,22.220815194422016,21.97356952507568,22.220815194422038,0.12362283467318136,1,2,3,1,0.24724566934635916,False,3
0.3,AW6D,3,5.746713590675575,5.7457068557507425,5.747720325600407,0.0010067349248323865,1,1,2,1,0.002013469849664773,False,2
0.3,AW6D,4,7.02147448281045,6.9337371325340005,7.109211833086899,0.08773735027645024,1,1,2,1,0.1754747005528987,False,2
0.3,AW6D,5,7.436262635846999,7.410028827872257,7.462496443821741,0.02623380797474173,1,1,2,1,0.05246761594948435,False,2
0.3,AW6D,8,10.752688431061607,10.735056921929806,10.75514140413325,0.0022024784941354625,8,0,8,0,0.020084482203444054,False,8
0.3,AW6D,0,2.119093040221572,2.119093040221572,2.119093040221572,0.0,1,0,1,0,0.0,False,1
0.3,AW6D,12,15.428930587302657,15.428930587302657,15.428930587302657,0.0,0,1,1,0,0.0,False,1
0.3,AW6D,15,19.13949891759726,19.13949891759726,19.13949891759726,0.0,1,0,1,0,0.0,False,1
0.3,AW6D,16,20.017926360356743,20.017926360356743,20.017926360356743,0.0,0,1,1,0,0.0,False,1
0.3,AW6D,17,20.864137971804478,20.864137971804478,20.864137971804478,0.0,0,1,1,0,0.0,False,1
0.5,AW6D,6,10.754826174854063,9.993864996446757,11.840941829844796,0.8135834715408077,9,9,18,9,1.8470768333980399,False,34
0.5,AW6D,9,17.671793249045788,16.59231866790704,18.620764472988366,0.8936546431599304,8,8,16,8,2.0284458050813257,True,30
0.5,AW6D,7,14.508925838100941,13.17506973330097,14.59346219793004,0.49033811138644623,8,7,15,7,1.4183924646290684,False,17
0.5,AW6D,2,4.103915758897757,3.9927669427112127,4.339502113460582,0.24345555744503722,2,2,4,2,0.3467351707493691,False,4
0.5,AW6D,4,7.259620330479578,6.9337371325340005,7.462496443821741,0.35780257391095294,2,2,4,2,0.5287593112877405,False,4
0.5,AW6D,5,8.653632834010395,8.598192971214884,8.72644198392095,0.06770754854549743,4,1,5,1,0.1282490127060658,False,5
0.5,AW6D,12,21.510222118902792,20.864137971804478,22.220815194422038,0.8260612596012642,1,3,4,1,1.3566772226175594,False,7
0.5,AW6D,1,3.2207072039733013,3.220707203973009,3.237234128940918,0.008263462483954154,1,2,3,1,0.01652692496790875,False,3
0.5,AW6D,3,5.746713590675575,5.7457068557507425,5.747720325600407,0.0010067349248323865,1,1,2,1,0.002013469849664773,False,2
0.5,AW6D,0,2.119093040221572,2.119093040221572,2.119093040221572,0.0,1,0,1,0,0.0,False,1
0.5,AW6D,8,15.428930587302657,15.428930587302657,15.428930587302657,0.0,0,1,1,0,0.0,False,1
0.5,AW6D,10,19.13949891759726,19.13949891759726,19.13949891759726,0.0,1,0,1,0,0.0,False,1
0.5,AW6D,11,20.017926360356743,20.017926360356743,20.017926360356743,0.0,0,1,1,0,0.0,False,1
1.0,AW6D,5,10.754826174854063,9.993864996446757,11.840941829844796,0.8135834715408077,9,9,18,9,1.8470768333980399,False,34
1.0,AW6D,7,17.74895560574659,16.59231866790704,22.220815194422038,1.585492376007025,8,8,16,8,5.628496526514997,True,39
1.0,AW6D,6,14.508925838100943,13.17506973330097,15.428930587302657,0.483197525522165,8,7,15,7,2.2538608540016867,True,18
1.0,AW6D,1,3.9927669427112127,3.220707203973009,4.339502113460582,0.8749450924406474,3,4,7,3,1.1187949094875727,False,7
1.0,AW6D,3,7.259620330479578,6.9337371325340005,7.462496443821741,0.35780257391095294,2,2,4,2,0.5287593112877405,False,4
1.0,AW6D,4,8.653632834010395,8.598192971214884,8.72644198392095,0.06770754854549743,4,1,5,1,0.1282490127060658,False,5
1.0,AW6D,2,5.746713590675575,5.7457068557507425,5.747720325600407,0.0010067349248323865,1,1,2,1,0.002013469849664773,False,2
1.0,AW6D,0,2.119093040221572,2.119093040221572,2.119093040221572,0.0,1,0,1,0,0.0,False,1
0.3,BW3D,3,8.868900389488044,8.702612849055692,8.972063519722067,0.23343220058525915,8,8,16,8,0.26945067066637485,False,16
0.3,BW3D,6,13.293401286640412,12.64488018014076,13.788445755654445,0.5038570774373898,8,8,16,8,1.1435655755136853,False,17
0.3,BW3D,14,23.6267619309187,23.051430172166146,23.781134015374764,0.27507598090407015,7,7,14,7,0.7297038432086183,False,14
0.3,BW3D,5,11.724513286276371,11.60385395115919,12.236650408886685,0.2893077880587622,5,6,11,5,0.6327964577274958,False,13
0.3,BW3D,11,20.443004245375953,20.170090879463125,20.923252795839765,0.35296150300435514,4,7,11,4,0.7531619163766408,False,11
0.3,BW3D,8,17.649577441703627,17.344548418438908,17.84955963420276,0.2552007323664327,4,5,9,4,0.5050112157638509,False,9
0.3,BW3D,7,15.095020372573778,15.030622021658962,15.206119813648991,0.018728574460041614,2,4,6,2,0.17549779199002913,False,6
0.3,BW3D,15,26.320777159324123,26.219494113240025,26.437456704650067,0.14176395595282543,2,3,5,2,0.2179625914100427,False,5
0.3,BW3D,2,8.201319842645951,8.16570508909539,8.282228683623927,0.08255302895791594,3,1,4,1,0.11652359452853744,False,4
0.3,BW3D,12,21.33660693939259,21.31892254317812,21.354291335607055,0.01768439621446305,1,1,2,1,0.035368792428933205,False,2
0.3,BW3D,13,22.462830482345353,22.40741968139249,22.518241283298217,0.055410800952863326,1,1,2,1,0.11082160190572665,False,2
0.3,BW3D,4,11.006095580542478,10.989014631244924,11.010348467782684,0.014099516981882942,5,0,5,0,0.02133383653776022,False,5
0.3,BW3D,10,19.08631661813623,19.08562932550161,19.087003910770846,0.0006872926346197517,0,2,2,0,0.0013745852692359506,False,2
0.3,BW3D,0,4.910926448806866,4.910926448806866,4.910926448806866,0.0,1,0,1,0,0.0,False,1
0.3,BW3D,1,7.8209077707746975,7.8209077707746975,7.8209077707746975,0.0,1,0,1,0,0.0,False,1
0.3,BW3D,9,18.45040556902152,18.45040556902152,18.45040556902152,0.0,1,0,1,0,0.0,False,1
0.3,BW3D,16,27.727792388407348,27.727792388407348,27.727792388407348,0.0,0,1,1,0,0.0,False,1
0.5,BW3D,1,8.710535275442012,7.8209077707746975,8.972063519722067,0.20083313952070725,9,9,18,9,1.1511557489473692,False,21
0.5,BW3D,3,12.872395443759459,11.60385395115919,13.788445755654445,1.5280870699507378,8,8,16,8,2.1845918044952555,True,30
0.5,BW3D,10,23.6267619309187,23.051430172166146,23.781134015374764,0.27507598090407015,7,7,14,7,0.7297038432086183,False,14
0.5,BW3D,8,20.532465788634894,20.170090879463125,21.354291335607055,0.4208458754257869,5,8,13,5,1.1842004561439303,False,13
0.5,BW3D,5,17.649577441703627,17.344548418438908,17.84955963420276,0.2552007323664327,4,5,9,4,0.5050112157638509,False,9
0.5,BW3D,4,15.095020372573778,15.030622021658962,15.206119813648991,0.018728574460041614,2,4,6,2,0.17549779199002913,False,6
0.5,BW3D,11,26.320777159324123,26.219494113240025,26.437456704650067,0.14176395595282543,2,3,5,2,0.2179625914100427,False,5
